STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192456416 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,500187680995,60247185,287268724973,9896831
CPU_CLK_UNHALTED_CORE,FIXC1,213317651657,84330204,121874131252,28773874
CPU_CLK_UNHALTED_REF,FIXC2,189629120320,75579552,108354933536,25784480
L2_LINES_IN_ALL,PMC0,95069193,1155445,52473723,567483
L2_TRANS_L2_WB,PMC1,4560105,46444,546171,11771
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,787526549984,9896831,500187680995,196881637496
CPU_CLK_UNHALTED_CORE STAT,FIXC1,335304886987,28773874,213317651657,8.382622e+10
CPU_CLK_UNHALTED_REF STAT,FIXC2,298085417888,25784480,189629120320,74521354472
L2_LINES_IN_ALL STAT,PMC0,149265844,567483,95069193,37316461
L2_TRANS_L2_WB STAT,PMC1,5164491,11771,4560105,1.291123e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],94.2828,94.2828,94.2828,94.2828,
Runtime unhalted [s],66.8193,0.0264,38.1757,0.0090,
Clock [MHz],3591.2591,3562.0812,3590.7719,3562.5826,
CPI,0.4265,1.3997,0.4243,2.9074,
L3 load bandwidth [MBytes/s],64.5338,0.7843,35.6196,0.3852,
L3 load data volume [GBytes],6.0844,0.0739,3.3583,0.0363,
L3 evict bandwidth [MBytes/s],3.0954,0.0315,0.3707,0.0080,
L3 evict data volume [GBytes],0.2918,0.0030,0.0350,0.0008,
L3 bandwidth [MBytes/s],67.6293,0.8159,35.9904,0.3932,
L3 data volume [GBytes],6.3763,0.0769,3.3933,0.0371,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,377.1312,94.2828,94.2828,94.2828,
Runtime unhalted [s] STAT,105.0304,0.0090,66.8193,26.2576,
Clock [MHz] STAT,14306.6948,3562.0812,3591.2591,3576.6737,
CPI STAT,5.1579,0.4243,2.9074,1.2895,
L3 load bandwidth [MBytes/s] STAT,101.3229,0.3852,64.5338,25.3307,
L3 load data volume [GBytes] STAT,9.5529,0.0363,6.0844,2.3882,
L3 evict bandwidth [MBytes/s] STAT,3.5056,0.0080,3.0954,0.8764,
L3 evict data volume [GBytes] STAT,0.3306,0.0008,0.2918,0.0827,
L3 bandwidth [MBytes/s] STAT,104.8288,0.3932,67.6293,26.2072,
L3 data volume [GBytes] STAT,9.8836,0.0371,6.3763,2.4709,
