STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192556276 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,428938998520,133185535,832248570,479717788079
CPU_CLK_UNHALTED_CORE,FIXC1,370198962137,198973860,490462943,368868882392
CPU_CLK_UNHALTED_REF,FIXC2,337143616224,184300160,451138176,335864177920
L2_LINES_IN_ALL,PMC0,2995275791,3267316,3479707,3199262998
L2_TRANS_L2_WB,PMC1,459,138107,348859,5025558
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,909622220704,133185535,479717788079,227405555176
CPU_CLK_UNHALTED_CORE STAT,FIXC1,739757281332,198973860,370198962137,184939320333
CPU_CLK_UNHALTED_REF STAT,FIXC2,673643232480,184300160,337143616224,168410808120
L2_LINES_IN_ALL STAT,PMC0,6201285812,3267316,3199262998,1550321453
L2_TRANS_L2_WB STAT,PMC1,5512983,459,5025558,1.378246e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],107.4947,107.4947,107.4947,107.4947,
Runtime unhalted [s],115.9569,0.0623,0.1536,115.5403,
Clock [MHz],3505.5714,3446.7428,3470.8447,3506.2824,
CPI,0.8631,1.4940,0.5893,0.7689,
L3 load bandwidth [MBytes/s],1783.3216,1.9453,2.0717,1904.7711,
L3 load data volume [GBytes],191.6977,0.2091,0.2227,204.7528,
L3 evict bandwidth [MBytes/s],0.0003,0.0822,0.2077,2.9921,
L3 evict data volume [GBytes],2.937600e-05,0.0088,0.0223,0.3216,
L3 bandwidth [MBytes/s],1783.3218,2.0275,2.2794,1907.7632,
L3 data volume [GBytes],191.6977,0.2179,0.2450,205.0745,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,429.9788,107.4947,107.4947,107.4947,
Runtime unhalted [s] STAT,231.7131,0.0623,115.9569,57.9283,
Clock [MHz] STAT,13929.4413,3446.7428,3506.2824,3482.3603,
CPI STAT,3.7153,0.5893,1.4940,0.9288,
L3 load bandwidth [MBytes/s] STAT,3692.1097,1.9453,1904.7711,923.0274,
L3 load data volume [GBytes] STAT,396.8823,0.2091,204.7528,99.2206,
L3 evict bandwidth [MBytes/s] STAT,3.2823,0.0003,2.9921,0.8206,
L3 evict data volume [GBytes] STAT,0.3527,2.937600e-05,0.3216,0.0882,
L3 bandwidth [MBytes/s] STAT,3695.3919,2.0275,1907.7632,923.8480,
L3 data volume [GBytes] STAT,397.2351,0.2179,205.0745,99.3088,
