STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192476402 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,35390726,5984611,372566008795,361259609723
CPU_CLK_UNHALTED_CORE,FIXC1,51340637,8353385,166514086992,162789957085
CPU_CLK_UNHALTED_REF,FIXC2,47510048,7737088,148161306784,144831744224
L2_LINES_IN_ALL,PMC0,760175,173174,409190906,372191936
L2_TRANS_L2_WB,PMC1,35317,7136,13653198,1502653
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,733866993855,5984611,372566008795,1.834667e+11
CPU_CLK_UNHALTED_CORE STAT,FIXC1,329363738099,8353385,166514086992,8.234093e+10
CPU_CLK_UNHALTED_REF STAT,FIXC2,293048298144,7737088,148161306784,73262074536
L2_LINES_IN_ALL STAT,PMC0,782316191,173174,409190906,1.955790e+08
L2_TRANS_L2_WB STAT,PMC1,15198304,7136,13653198,3799576
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],46.5940,46.5940,46.5940,46.5940,
Runtime unhalted [s],0.0161,0.0026,52.1583,50.9917,
Clock [MHz],3449.8760,3446.7728,3587.9293,3588.3231,
CPI,1.4507,1.3958,0.4469,0.4506,
L3 load bandwidth [MBytes/s],1.0442,0.2379,562.0511,511.2305,
L3 load data volume [GBytes],0.0487,0.0111,26.1882,23.8203,
L3 evict bandwidth [MBytes/s],0.0485,0.0098,18.7536,2.0640,
L3 evict data volume [GBytes],0.0023,0.0005,0.8738,0.0962,
L3 bandwidth [MBytes/s],1.0927,0.2477,580.8047,513.2945,
L3 data volume [GBytes],0.0509,0.0115,27.0620,23.9165,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,186.3760,46.5940,46.5940,46.5940,
Runtime unhalted [s] STAT,103.1687,0.0026,52.1583,25.7922,
Clock [MHz] STAT,14072.9012,3446.7728,3588.3231,3518.2253,
CPI STAT,3.7440,0.4469,1.4507,0.9360,
L3 load bandwidth [MBytes/s] STAT,1074.5637,0.2379,562.0511,268.6409,
L3 load data volume [GBytes] STAT,50.0683,0.0111,26.1882,12.5171,
L3 evict bandwidth [MBytes/s] STAT,20.8759,0.0098,18.7536,5.2190,
L3 evict data volume [GBytes] STAT,0.9728,0.0005,0.8738,0.2432,
L3 bandwidth [MBytes/s] STAT,1095.4396,0.2477,580.8047,273.8599,
L3 data volume [GBytes] STAT,51.0409,0.0115,27.0620,12.7602,
