STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192459993 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,7668947,1243840,372319074072,361330558093
CPU_CLK_UNHALTED_CORE,FIXC1,18532860,4606250,167627730218,163944891982
CPU_CLK_UNHALTED_REF,FIXC2,17113344,4221184,149154530560,145862693184
L2_LINES_IN_ALL,PMC0,336478,123472,389448266,445473106
L2_TRANS_L2_WB,PMC1,7912,5315,14950021,4962733
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,733658544952,1243840,372319074072,183414636238
CPU_CLK_UNHALTED_CORE STAT,FIXC1,331595761310,4606250,167627730218,8.289894e+10
CPU_CLK_UNHALTED_REF STAT,FIXC2,295038558272,4221184,149154530560,73759639568
L2_LINES_IN_ALL STAT,PMC0,835381322,123472,445473106,2.088453e+08
L2_TRANS_L2_WB STAT,PMC1,19925981,5315,14950021,4.981495e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],46.9144,46.9144,46.9144,46.9144,
Runtime unhalted [s],0.0058,0.0014,52.5074,51.3538,
Clock [MHz],3457.2679,3483.6835,3587.8550,3588.2205,
CPI,2.4166,3.7032,0.4502,0.4537,
L3 load bandwidth [MBytes/s],0.4590,0.1684,531.2806,607.7090,
L3 load data volume [GBytes],0.0215,0.0079,24.9247,28.5103,
L3 evict bandwidth [MBytes/s],0.0108,0.0073,20.3946,6.7701,
L3 evict data volume [GBytes],0.0005,0.0003,0.9568,0.3176,
L3 bandwidth [MBytes/s],0.4698,0.1757,551.6752,614.4791,
L3 data volume [GBytes],0.0220,0.0082,25.8815,28.8279,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,187.6576,46.9144,46.9144,46.9144,
Runtime unhalted [s] STAT,103.8684,0.0014,52.5074,25.9671,
Clock [MHz] STAT,14117.0269,3457.2679,3588.2205,3529.2567,
CPI STAT,7.0237,0.4502,3.7032,1.7559,
L3 load bandwidth [MBytes/s] STAT,1139.6170,0.1684,607.7090,284.9042,
L3 load data volume [GBytes] STAT,53.4644,0.0079,28.5103,13.3661,
L3 evict bandwidth [MBytes/s] STAT,27.1828,0.0073,20.3946,6.7957,
L3 evict data volume [GBytes] STAT,1.2752,0.0003,0.9568,0.3188,
L3 bandwidth [MBytes/s] STAT,1166.7998,0.1757,614.4791,291.7000,
L3 data volume [GBytes] STAT,54.7396,0.0082,28.8279,13.6849,
