STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192495642 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,176699021199,176737472602,182469730740,176668171076
CPU_CLK_UNHALTED_CORE,FIXC1,370070352005,390354050971,385124094491,390182562226
CPU_CLK_UNHALTED_REF,FIXC2,359014936736,377317385824,372701831328,377098504256
L2_LINES_IN_ALL,PMC0,4411783364,4407171939,4413876729,4394479528
L2_TRANS_L2_WB,PMC1,1633982094,1430924877,1646431513,1418962418
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,712574395617,176668171076,182469730740,1.781436e+11
CPU_CLK_UNHALTED_CORE STAT,FIXC1,1535731059693,370070352005,390354050971,3.839328e+11
CPU_CLK_UNHALTED_REF STAT,FIXC2,1486132658144,359014936736,377317385824,371533164536
L2_LINES_IN_ALL STAT,PMC0,17627311560,4394479528,4413876729,4406827890
L2_TRANS_L2_WB STAT,PMC1,6130300902,1418962418,1646431513,1.532575e+09
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],119.6412,119.6412,119.6412,119.6412,
Runtime unhalted [s],115.9188,122.2724,120.6342,122.2187,
Clock [MHz],3290.8045,3302.7993,3298.9025,3303.2646,
CPI,2.0944,2.2087,2.1106,2.2086,
L3 load bandwidth [MBytes/s],2360.0068,2357.5400,2361.1266,2350.7504,
L3 load data volume [GBytes],282.3541,282.0590,282.4881,281.2467,
L3 evict bandwidth [MBytes/s],874.0703,765.4484,880.7299,759.0493,
L3 evict data volume [GBytes],104.5749,91.5792,105.3716,90.8136,
L3 bandwidth [MBytes/s],3234.0771,3122.9883,3241.8565,3109.7996,
L3 data volume [GBytes],386.9290,373.6382,387.8597,372.0603,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,478.5648,119.6412,119.6412,119.6412,
Runtime unhalted [s] STAT,481.0441,115.9188,122.2724,120.2610,
Clock [MHz] STAT,13195.7709,3290.8045,3303.2646,3298.9427,
CPI STAT,8.6223,2.0944,2.2087,2.1556,
L3 load bandwidth [MBytes/s] STAT,9429.4238,2350.7504,2361.1266,2357.3560,
L3 load data volume [GBytes] STAT,1128.1479,281.2467,282.4881,282.0370,
L3 evict bandwidth [MBytes/s] STAT,3279.2979,759.0493,880.7299,819.8245,
L3 evict data volume [GBytes] STAT,392.3393,90.8136,105.3716,98.0848,
L3 bandwidth [MBytes/s] STAT,12708.7215,3109.7996,3241.8565,3177.1804,
L3 data volume [GBytes] STAT,1520.4872,372.0603,387.8597,380.1218,
