STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.19240549 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,138645340551,208908885,191222605,191466178
CPU_CLK_UNHALTED_CORE,FIXC1,258211858174,878021410,742282177,828910541
CPU_CLK_UNHALTED_REF,FIXC2,236028428064,802308384,678898848,757393408
L2_LINES_IN_ALL,PMC0,8627112581,18915688,15220361,17222794
L2_TRANS_L2_WB,PMC1,4210692,300618,247196,287116
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,139236938219,191222605,138645340551,3.480923e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,260661072302,742282177,258211858174,6.516527e+10
CPU_CLK_UNHALTED_REF STAT,FIXC2,238267028704,678898848,236028428064,59566757176
L2_LINES_IN_ALL STAT,PMC0,8678471424,15220361,8627112581,2169617856
L2_TRANS_L2_WB STAT,PMC1,5045622,247196,4210692,1.261406e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],74.0688,74.0688,74.0688,74.0688,
Runtime unhalted [s],80.8832,0.2750,0.2325,0.2597,
Clock [MHz],3492.4478,3493.6695,3490.4547,3493.8495,
CPI,1.8624,4.2029,3.8818,4.3293,
L3 load bandwidth [MBytes/s],7454.3529,16.3443,13.1513,14.8815,
L3 load data volume [GBytes],552.1352,1.2106,0.9741,1.1023,
L3 evict bandwidth [MBytes/s],3.6383,0.2598,0.2136,0.2481,
L3 evict data volume [GBytes],0.2695,0.0192,0.0158,0.0184,
L3 bandwidth [MBytes/s],7457.9912,16.6041,13.3649,15.1296,
L3 data volume [GBytes],552.4047,1.2298,0.9899,1.1206,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,296.2752,74.0688,74.0688,74.0688,
Runtime unhalted [s] STAT,81.6504,0.2325,80.8832,20.4126,
Clock [MHz] STAT,13970.4215,3490.4547,3493.8495,3492.6054,
CPI STAT,14.2764,1.8624,4.3293,3.5691,
L3 load bandwidth [MBytes/s] STAT,7498.7300,13.1513,7454.3529,1874.6825,
L3 load data volume [GBytes] STAT,555.4222,0.9741,552.1352,138.8556,
L3 evict bandwidth [MBytes/s] STAT,4.3598,0.2136,3.6383,1.0899,
L3 evict data volume [GBytes] STAT,0.3229,0.0158,0.2695,0.0807,
L3 bandwidth [MBytes/s] STAT,7503.0898,13.3649,7457.9912,1875.7724,
L3 data volume [GBytes] STAT,555.7450,0.9899,552.4047,138.9363,
