STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192212938 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,41159200,121457775179,15889636,15548056
CPU_CLK_UNHALTED_CORE,FIXC1,202716874,33344358935,73631783,76237112
CPU_CLK_UNHALTED_REF,FIXC2,180847552,29657329024,65874592,68137856
L2_LINES_IN_ALL,PMC0,3832542,549089438,1444143,1330259
L2_TRANS_L2_WB,PMC1,45794,4424402,21012,13009
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,121530372071,15548056,121457775179,3.038259e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,33696944704,73631783,33344358935,8424236176
CPU_CLK_UNHALTED_REF STAT,FIXC2,29972189024,65874592,29657329024,7493047256
L2_LINES_IN_ALL STAT,PMC0,555696382,1330259,549089438,1.389241e+08
L2_TRANS_L2_WB STAT,PMC1,4504217,13009,4424402,1.126054e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],9.3350,9.3350,9.3350,9.3350,
Runtime unhalted [s],0.0635,10.4455,0.0231,0.0239,
Clock [MHz],3578.2371,3589.0722,3568.1182,3571.6577,
CPI,4.9252,0.2745,4.6340,4.9033,
L3 load bandwidth [MBytes/s],26.2756,3764.5177,9.9009,9.1202,
L3 load data volume [GBytes],0.2453,35.1417,0.0924,0.0851,
L3 evict bandwidth [MBytes/s],0.3140,30.3334,0.1441,0.0892,
L3 evict data volume [GBytes],0.0029,0.2832,0.0013,0.0008,
L3 bandwidth [MBytes/s],26.5896,3794.8511,10.0450,9.2093,
L3 data volume [GBytes],0.2482,35.4249,0.0938,0.0860,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,37.3400,9.3350,9.3350,9.3350,
Runtime unhalted [s] STAT,10.5560,0.0231,10.4455,2.6390,
Clock [MHz] STAT,14307.0852,3568.1182,3589.0722,3576.7713,
CPI STAT,14.7370,0.2745,4.9252,3.6843,
L3 load bandwidth [MBytes/s] STAT,3809.8144,9.1202,3764.5177,952.4536,
L3 load data volume [GBytes] STAT,35.5645,0.0851,35.1417,8.8911,
L3 evict bandwidth [MBytes/s] STAT,30.8807,0.0892,30.3334,7.7202,
L3 evict data volume [GBytes] STAT,0.2882,0.0008,0.2832,0.0721,
L3 bandwidth [MBytes/s] STAT,3840.6950,9.2093,3794.8511,960.1737,
L3 data volume [GBytes] STAT,35.8529,0.0860,35.4249,8.9632,
