STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192570279 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,37879816,12642941,24747711,121466162886
CPU_CLK_UNHALTED_CORE,FIXC1,198802618,55355212,131047054,34247018989
CPU_CLK_UNHALTED_REF,FIXC2,178744096,49748480,118649504,30511097248
L2_LINES_IN_ALL,PMC0,3578922,1057129,2110134,568221906
L2_TRANS_L2_WB,PMC1,57845,13253,45206,459358484
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,121541433354,12642941,121466162886,3.038536e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,34632223873,55355212,34247018989,8.658056e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,30858239328,49748480,30511097248,7714559832
L2_LINES_IN_ALL STAT,PMC0,574968091,1057129,568221906,1.437420e+08
L2_TRANS_L2_WB STAT,PMC1,459474788,13253,459358484,114868697
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],9.6093,9.6093,9.6093,9.6093,
Runtime unhalted [s],0.0623,0.0173,0.0410,10.7271,
Clock [MHz],3550.8380,3552.3780,3526.1583,3583.4835,
CPI,5.2482,4.3783,5.2953,0.2819,
L3 load bandwidth [MBytes/s],23.8363,7.0407,14.0539,3784.4609,
L3 load data volume [GBytes],0.2291,0.0677,0.1350,36.3662,
L3 evict bandwidth [MBytes/s],0.3853,0.0883,0.3011,3059.4108,
L3 evict data volume [GBytes],0.0037,0.0008,0.0029,29.3989,
L3 bandwidth [MBytes/s],24.2215,7.1289,14.3550,6843.8716,
L3 data volume [GBytes],0.2328,0.0685,0.1379,65.7651,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,38.4372,9.6093,9.6093,9.6093,
Runtime unhalted [s] STAT,10.8477,0.0173,10.7271,2.7119,
Clock [MHz] STAT,14212.8578,3526.1583,3583.4835,3553.2144,
CPI STAT,15.2037,0.2819,5.2953,3.8009,
L3 load bandwidth [MBytes/s] STAT,3829.3918,7.0407,3784.4609,957.3479,
L3 load data volume [GBytes] STAT,36.7980,0.0677,36.3662,9.1995,
L3 evict bandwidth [MBytes/s] STAT,3060.1855,0.0883,3059.4108,765.0464,
L3 evict data volume [GBytes] STAT,29.4063,0.0008,29.3989,7.3516,
L3 bandwidth [MBytes/s] STAT,6889.5770,7.1289,6843.8716,1722.3943,
L3 data volume [GBytes] STAT,66.2043,0.0685,65.7651,16.5511,
