STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.19253519 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,52490781286,44885767,53622132,53926017114
CPU_CLK_UNHALTED_CORE,FIXC1,46623022644,145506630,143591541,47366323154
CPU_CLK_UNHALTED_REF,FIXC2,42110778880,135745728,133006496,42789639904
L2_LINES_IN_ALL,PMC0,4697497923,3902627,4871723,4710541004
L2_TRANS_L2_WB,PMC1,10455143,87203,107966,16877432
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,106515306299,44885767,53926017114,2.662883e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,94278443969,143591541,47366323154,2.356961e+10
CPU_CLK_UNHALTED_REF STAT,FIXC2,85169171008,133006496,42789639904,21292292752
L2_LINES_IN_ALL STAT,PMC0,9416813277,3902627,4710541004,2.354203e+09
L2_TRANS_L2_WB STAT,PMC1,27527744,87203,16877432,6881936
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],13.5015,13.5015,13.5015,13.5015,
Runtime unhalted [s],14.6038,0.0456,0.0450,14.8366,
Clock [MHz],3534.6209,3422.0969,3446.6065,3534.0015,
CPI,0.8882,3.2417,2.6778,0.8784,
L3 load bandwidth [MBytes/s],22267.2167,18.4993,23.0931,22329.0439,
L3 load data volume [GBytes],300.6399,0.2498,0.3118,301.4746,
L3 evict bandwidth [MBytes/s],49.5598,0.4134,0.5118,80.0029,
L3 evict data volume [GBytes],0.6691,0.0056,0.0069,1.0802,
L3 bandwidth [MBytes/s],22316.7765,18.9127,23.6049,22409.0468,
L3 data volume [GBytes],301.3090,0.2553,0.3187,302.5548,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,54.0060,13.5015,13.5015,13.5015,
Runtime unhalted [s] STAT,29.5310,0.0450,14.8366,7.3827,
Clock [MHz] STAT,13937.3258,3422.0969,3534.6209,3484.3315,
CPI STAT,7.6861,0.8784,3.2417,1.9215,
L3 load bandwidth [MBytes/s] STAT,44637.8530,18.4993,22329.0439,11159.4633,
L3 load data volume [GBytes] STAT,602.6761,0.2498,301.4746,150.6690,
L3 evict bandwidth [MBytes/s] STAT,130.4879,0.4134,80.0029,32.6220,
L3 evict data volume [GBytes] STAT,1.7618,0.0056,1.0802,0.4405,
L3 bandwidth [MBytes/s] STAT,44768.3409,18.9127,22409.0468,11192.0852,
L3 data volume [GBytes] STAT,604.4378,0.2553,302.5548,151.1094,
