STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192579726 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,26250315746,26117955859,27320044932,26130672608
CPU_CLK_UNHALTED_CORE,FIXC1,102180566746,102256651737,102219045305,101371237970
CPU_CLK_UNHALTED_REF,FIXC2,99149249024,99219273696,99152467424,98384482016
L2_LINES_IN_ALL,PMC0,2379164778,2370869598,2398749952,2388784191
L2_TRANS_L2_WB,PMC1,6024002,4854252,9741283,6075004
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,105818989145,26117955859,27320044932,2.645475e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,408027501758,101371237970,102256651737,1.020069e+11
CPU_CLK_UNHALTED_REF STAT,FIXC2,395905472160,98384482016,99219273696,98976368040
L2_LINES_IN_ALL STAT,PMC0,9537568519,2370869598,2398749952,2.384392e+09
L2_TRANS_L2_WB STAT,PMC1,26694541,4854252,9741283,6.673635e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],31.6464,31.6464,31.6464,31.6464,
Runtime unhalted [s],32.0056,32.0295,32.0177,31.7521,
Clock [MHz],3290.1874,3290.3135,3291.3195,3289.5001,
CPI,3.8925,3.9152,3.7415,3.8794,
L3 load bandwidth [MBytes/s],4811.4904,4794.7147,4851.0984,4830.9442,
L3 load data volume [GBytes],152.2665,151.7357,153.5200,152.8822,
L3 evict bandwidth [MBytes/s],12.1826,9.8170,19.7002,12.2857,
L3 evict data volume [GBytes],0.3855,0.3107,0.6234,0.3888,
L3 bandwidth [MBytes/s],4823.6730,4804.5317,4870.7986,4843.2299,
L3 data volume [GBytes],152.6521,152.0463,154.1434,153.2710,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,126.5856,31.6464,31.6464,31.6464,
Runtime unhalted [s] STAT,127.8049,31.7521,32.0295,31.9512,
Clock [MHz] STAT,13161.3205,3289.5001,3291.3195,3290.3301,
CPI STAT,15.4286,3.7415,3.9152,3.8572,
L3 load bandwidth [MBytes/s] STAT,19288.2477,4794.7147,4851.0984,4822.0619,
L3 load data volume [GBytes] STAT,610.4044,151.7357,153.5200,152.6011,
L3 evict bandwidth [MBytes/s] STAT,53.9855,9.8170,19.7002,13.4964,
L3 evict data volume [GBytes] STAT,1.7084,0.3107,0.6234,0.4271,
L3 bandwidth [MBytes/s] STAT,19342.2332,4804.5317,4870.7986,4835.5583,
L3 data volume [GBytes] STAT,612.1128,152.0463,154.1434,153.0282,
