STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192569419 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,78483288260,422133107,438862935,677077168
CPU_CLK_UNHALTED_CORE,FIXC1,557307924672,1490387074,1626592395,1715229511
CPU_CLK_UNHALTED_REF,FIXC2,523658226112,1388886016,1518781440,1602734336
L2_LINES_IN_ALL,PMC0,17770682069,34906038,38583911,39918734
L2_TRANS_L2_WB,PMC1,7622265275,744472,826481,1536209
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,80021361470,422133107,78483288260,2.000534e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,562140133652,1490387074,557307924672,140535033413
CPU_CLK_UNHALTED_REF STAT,FIXC2,528168627904,1388886016,523658226112,132042156976
L2_LINES_IN_ALL STAT,PMC0,17884090752,34906038,17770682069,4471022688
L2_TRANS_L2_WB STAT,PMC1,7625372437,744472,7622265275,1.906343e+09
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],164.3969,164.3969,164.3969,164.3969,
Runtime unhalted [s],174.5641,0.4668,0.5095,0.5373,
Clock [MHz],3397.7204,3425.8853,3419.1945,3416.6544,
CPI,7.1010,3.5306,3.7064,2.5333,
L3 load bandwidth [MBytes/s],6918.1570,13.5890,15.0208,15.5404,
L3 load data volume [GBytes],1137.3237,2.2340,2.4694,2.5548,
L3 evict bandwidth [MBytes/s],2967.3610,0.2898,0.3218,0.5980,
L3 evict data volume [GBytes],487.8250,0.0476,0.0529,0.0983,
L3 bandwidth [MBytes/s],9885.5180,13.8788,15.3425,16.1385,
L3 data volume [GBytes],1625.1486,2.2816,2.5223,2.6531,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,657.5876,164.3969,164.3969,164.3969,
Runtime unhalted [s] STAT,176.0777,0.4668,174.5641,44.0194,
Clock [MHz] STAT,13659.4546,3397.7204,3425.8853,3414.8636,
CPI STAT,16.8713,2.5333,7.1010,4.2178,
L3 load bandwidth [MBytes/s] STAT,6962.3072,13.5890,6918.1570,1740.5768,
L3 load data volume [GBytes] STAT,1144.5819,2.2340,1137.3237,286.1455,
L3 evict bandwidth [MBytes/s] STAT,2968.5706,0.2898,2967.3610,742.1427,
L3 evict data volume [GBytes] STAT,488.0238,0.0476,487.8250,122.0059,
L3 bandwidth [MBytes/s] STAT,9930.8778,13.8788,9885.5180,2482.7195,
L3 data volume [GBytes] STAT,1632.6056,2.2816,1625.1486,408.1514,
