STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192574391 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,70622197289,23375645,21739854,15905567
CPU_CLK_UNHALTED_CORE,FIXC1,28776284491,70974908,55372558,55056893
CPU_CLK_UNHALTED_REF,FIXC2,25601481376,63417376,49516416,49212000
L2_LINES_IN_ALL,PMC0,25712785,2059758,1994219,1347565
L2_TRANS_L2_WB,PMC1,9151562,43771,42368,30375
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,70683218355,15905567,70622197289,1.767080e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,28957688850,55056893,28776284491,7.239422e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,25763627168,49212000,25601481376,6440906792
L2_LINES_IN_ALL STAT,PMC0,31114327,1347565,25712785,7.778582e+06
L2_TRANS_L2_WB STAT,PMC1,9268076,30375,9151562,2317019
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],8.0481,8.0481,8.0481,8.0481,
Runtime unhalted [s],9.0135,0.0222,0.0173,0.0172,
Clock [MHz],3588.4810,3573.0377,3570.1496,3571.7554,
CPI,0.4075,3.0363,2.5471,3.4615,
L3 load bandwidth [MBytes/s],204.4736,16.3796,15.8585,10.7161,
L3 load data volume [GBytes],1.6456,0.1318,0.1276,0.0862,
L3 evict bandwidth [MBytes/s],72.7752,0.3481,0.3369,0.2415,
L3 evict data volume [GBytes],0.5857,0.0028,0.0027,0.0019,
L3 bandwidth [MBytes/s],277.2488,16.7277,16.1954,10.9577,
L3 data volume [GBytes],2.2313,0.1346,0.1303,0.0882,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,32.1924,8.0481,8.0481,8.0481,
Runtime unhalted [s] STAT,9.0702,0.0172,9.0135,2.2676,
Clock [MHz] STAT,14303.4237,3570.1496,3588.4810,3575.8559,
CPI STAT,9.4524,0.4075,3.4615,2.3631,
L3 load bandwidth [MBytes/s] STAT,247.4278,10.7161,204.4736,61.8570,
L3 load data volume [GBytes] STAT,1.9912,0.0862,1.6456,0.4978,
L3 evict bandwidth [MBytes/s] STAT,73.7017,0.2415,72.7752,18.4254,
L3 evict data volume [GBytes] STAT,0.5931,0.0019,0.5857,0.1483,
L3 bandwidth [MBytes/s] STAT,321.1296,10.9577,277.2488,80.2824,
L3 data volume [GBytes] STAT,2.5844,0.0882,2.2313,0.6461,
