STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.19251841 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,18391911853,6384559,10271455,6371194
CPU_CLK_UNHALTED_CORE,FIXC1,7914979852,37752403,47601327,18841865
CPU_CLK_UNHALTED_REF,FIXC2,7062690720,33828608,42630656,16954496
L2_LINES_IN_ALL,PMC0,547123746,511592,922059,319868
L2_TRANS_L2_WB,PMC1,4403327,10767,20897,9852
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,18414939061,6371194,18391911853,4.603735e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,8019175447,18841865,7914979852,2.004794e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,7156104480,16954496,7062690720,1789026120
L2_LINES_IN_ALL STAT,PMC0,548877265,319868,547123746,1.372193e+08
L2_TRANS_L2_WB STAT,PMC1,4444843,9852,4403327,1.111211e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],2.2395,2.2395,2.2395,2.2395,
Runtime unhalted [s],2.4792,0.0118,0.0149,0.0059,
Clock [MHz],3577.7751,3562.8200,3564.7613,3547.9085,
CPI,0.4304,5.9131,4.6343,2.9574,
L3 load bandwidth [MBytes/s],15635.4498,14.6200,26.3502,9.1410,
L3 load data volume [GBytes],35.0159,0.0327,0.0590,0.0205,
L3 evict bandwidth [MBytes/s],125.8362,0.3077,0.5972,0.2815,
L3 evict data volume [GBytes],0.2818,0.0007,0.0013,0.0006,
L3 bandwidth [MBytes/s],15761.2861,14.9277,26.9474,9.4226,
L3 data volume [GBytes],35.2977,0.0334,0.0603,0.0211,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,8.9580,2.2395,2.2395,2.2395,
Runtime unhalted [s] STAT,2.5118,0.0059,2.4792,0.6280,
Clock [MHz] STAT,14253.2649,3547.9085,3577.7751,3563.3162,
CPI STAT,13.9352,0.4304,5.9131,3.4838,
L3 load bandwidth [MBytes/s] STAT,15685.5610,9.1410,15635.4498,3921.3903,
L3 load data volume [GBytes] STAT,35.1281,0.0205,35.0159,8.7820,
L3 evict bandwidth [MBytes/s] STAT,127.0226,0.2815,125.8362,31.7556,
L3 evict data volume [GBytes] STAT,0.2844,0.0006,0.2818,0.0711,
L3 bandwidth [MBytes/s] STAT,15812.5838,9.4226,15761.2861,3953.1459,
L3 data volume [GBytes] STAT,35.4125,0.0211,35.2977,8.8531,
