STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192572624 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,5454396,18615586477,3828199,494300
CPU_CLK_UNHALTED_CORE,FIXC1,20165751,6006501125,16004135,2164773
CPU_CLK_UNHALTED_REF,FIXC2,18007776,5353351424,14273664,1983872
L2_LINES_IN_ALL,PMC0,484146,547839509,427397,49675
L2_TRANS_L2_WB,PMC1,10306,5386198,6805,447
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,18625363372,494300,18615586477,4656340843
CPU_CLK_UNHALTED_CORE STAT,FIXC1,6044835784,2164773,6006501125,1511208946
CPU_CLK_UNHALTED_REF STAT,FIXC2,5387616736,1983872,5353351424,1346904184
L2_LINES_IN_ALL STAT,PMC0,548800727,49675,547839509,1.372002e+08
L2_TRANS_L2_WB STAT,PMC1,5403756,447,5386198,1350939
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],1.7025,1.7025,1.7025,1.7025,
Runtime unhalted [s],0.0063,1.8814,0.0050,0.0007,
Clock [MHz],3575.1569,3582.0908,3579.6249,3483.6900,
CPI,3.6972,0.3227,4.1806,4.3795,
L3 load bandwidth [MBytes/s],18.2003,20594.7082,16.0670,1.8674,
L3 load data volume [GBytes],0.0310,35.0617,0.0274,0.0032,
L3 evict bandwidth [MBytes/s],0.3874,202.4812,0.2558,0.0168,
L3 evict data volume [GBytes],0.0007,0.3447,0.0004,2.860800e-05,
L3 bandwidth [MBytes/s],18.5877,20797.1893,16.3228,1.8842,
L3 data volume [GBytes],0.0316,35.4064,0.0278,0.0032,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,6.8100,1.7025,1.7025,1.7025,
Runtime unhalted [s] STAT,1.8934,0.0007,1.8814,0.4733,
Clock [MHz] STAT,14220.5626,3483.6900,3582.0908,3555.1406,
CPI STAT,12.5800,0.3227,4.3795,3.1450,
L3 load bandwidth [MBytes/s] STAT,20630.8429,1.8674,20594.7082,5157.7107,
L3 load data volume [GBytes] STAT,35.1233,0.0032,35.0617,8.7808,
L3 evict bandwidth [MBytes/s] STAT,203.1412,0.0168,202.4812,50.7853,
L3 evict data volume [GBytes] STAT,0.3458,2.860800e-05,0.3447,0.0865,
L3 bandwidth [MBytes/s] STAT,20833.9840,1.8842,20797.1893,5208.4960,
L3 data volume [GBytes] STAT,35.4690,0.0032,35.4064,8.8672,
