STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192578746 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,196239542,185878480,292824244,69793379855
CPU_CLK_UNHALTED_CORE,FIXC1,612708778,579877545,702967656,248558863410
CPU_CLK_UNHALTED_REF,FIXC2,554047360,521011712,629871808,221109299168
L2_LINES_IN_ALL,PMC0,16929534,14650675,17129114,9171229042
L2_TRANS_L2_WB,PMC1,357668,291350,369570,8821755
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,70468322121,185878480,69793379855,1.761708e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,250454417389,579877545,248558863410,6.261360e+10
CPU_CLK_UNHALTED_REF STAT,FIXC2,222814230048,521011712,221109299168,55703557512
L2_LINES_IN_ALL STAT,PMC0,9219938365,14650675,9171229042,2.304985e+09
L2_TRANS_L2_WB STAT,PMC1,9840343,291350,8821755,2.460086e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],69.3890,69.3890,69.3890,69.3890,
Runtime unhalted [s],0.1919,0.1816,0.2202,77.8552,
Clock [MHz],3530.6026,3553.2881,3563.0736,3588.9207,
CPI,3.1222,3.1197,2.4006,3.5614,
L3 load bandwidth [MBytes/s],15.6147,13.5128,15.7988,8458.9563,
L3 load data volume [GBytes],1.0835,0.9376,1.0963,586.9587,
L3 evict bandwidth [MBytes/s],0.3299,0.2687,0.3409,8.1366,
L3 evict data volume [GBytes],0.0229,0.0186,0.0237,0.5646,
L3 bandwidth [MBytes/s],15.9446,13.7816,16.1397,8467.0929,
L3 data volume [GBytes],1.1064,0.9563,1.1199,587.5233,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,277.5560,69.3890,69.3890,69.3890,
Runtime unhalted [s] STAT,78.4489,0.1816,77.8552,19.6122,
Clock [MHz] STAT,14235.8850,3530.6026,3588.9207,3558.9713,
CPI STAT,12.2039,2.4006,3.5614,3.0510,
L3 load bandwidth [MBytes/s] STAT,8503.8826,13.5128,8458.9563,2125.9706,
L3 load data volume [GBytes] STAT,590.0761,0.9376,586.9587,147.5190,
L3 evict bandwidth [MBytes/s] STAT,9.0761,0.2687,8.1366,2.2690,
L3 evict data volume [GBytes] STAT,0.6298,0.0186,0.5646,0.1575,
L3 bandwidth [MBytes/s] STAT,8512.9588,13.7816,8467.0929,2128.2397,
L3 data volume [GBytes] STAT,590.7059,0.9563,587.5233,147.6765,
