STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192583118 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,43815811,69998102958,37405720,28095088
CPU_CLK_UNHALTED_CORE,FIXC1,132688914,53381434388,93136439,89225830
CPU_CLK_UNHALTED_REF,FIXC2,118499072,47460019264,83264192,79868128
L2_LINES_IN_ALL,PMC0,3856273,9158399896,3362008,2485931
L2_TRANS_L2_WB,PMC1,83495,8567621,68970,44997
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,70107419577,28095088,69998102958,1.752685e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,53696485571,89225830,53381434388,1.342412e+10
CPU_CLK_UNHALTED_REF STAT,FIXC2,47741650656,79868128,47460019264,11935412664
L2_LINES_IN_ALL STAT,PMC0,9168104108,2485931,9158399896,2292026027
L2_TRANS_L2_WB STAT,PMC1,8765083,44997,8567621,2.191271e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],14.9036,14.9036,14.9036,14.9036,
Runtime unhalted [s],0.0416,16.7205,0.0292,0.0279,
Clock [MHz],3574.8836,3590.9102,3571.1128,3566.6402,
CPI,3.0283,0.7626,2.4899,3.1759,
L3 load bandwidth [MBytes/s],16.5599,39328.7225,14.4374,10.6753,
L3 load data volume [GBytes],0.2468,586.1376,0.2152,0.1591,
L3 evict bandwidth [MBytes/s],0.3586,36.7918,0.2962,0.1932,
L3 evict data volume [GBytes],0.0053,0.5483,0.0044,0.0029,
L3 bandwidth [MBytes/s],16.9185,39365.5142,14.7336,10.8685,
L3 data volume [GBytes],0.2521,586.6859,0.2196,0.1620,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,59.6144,14.9036,14.9036,14.9036,
Runtime unhalted [s] STAT,16.8192,0.0279,16.7205,4.2048,
Clock [MHz] STAT,14303.5468,3566.6402,3590.9102,3575.8867,
CPI STAT,9.4567,0.7626,3.1759,2.3642,
L3 load bandwidth [MBytes/s] STAT,39370.3951,10.6753,39328.7225,9842.5988,
L3 load data volume [GBytes] STAT,586.7587,0.1591,586.1376,146.6897,
L3 evict bandwidth [MBytes/s] STAT,37.6398,0.1932,36.7918,9.4100,
L3 evict data volume [GBytes] STAT,0.5609,0.0029,0.5483,0.1402,
L3 bandwidth [MBytes/s] STAT,39408.0348,10.8685,39365.5142,9852.0087,
L3 data volume [GBytes] STAT,587.3196,0.1620,586.6859,146.8299,
