STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192571897 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,309175288,300688242,344869309,78432368195
CPU_CLK_UNHALTED_CORE,FIXC1,1035886081,982955351,1034264830,421761561230
CPU_CLK_UNHALTED_REF,FIXC2,934747488,879044864,925181728,375185735744
L2_LINES_IN_ALL,PMC0,26662978,27135613,27022901,17294175260
L2_TRANS_L2_WB,PMC1,544042,534819,524440,8370162419
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,79387101034,300688242,78432368195,1.984678e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,424814667492,982955351,421761561230,106203666873
CPU_CLK_UNHALTED_REF STAT,FIXC2,377924709824,879044864,375185735744,94481177456
L2_LINES_IN_ALL STAT,PMC0,17374996752,26662978,17294175260,4343749188
L2_TRANS_L2_WB STAT,PMC1,8371765720,524440,8370162419,2092941430
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],117.7191,117.7191,117.7191,117.7191,
Runtime unhalted [s],0.3245,0.3079,0.3240,132.1071,
Clock [MHz],3538.0045,3569.9607,3568.9905,3588.9001,
CPI,3.3505,3.2690,2.9990,5.3774,
L3 load bandwidth [MBytes/s],14.4958,14.7527,14.6915,9402.2712,
L3 load data volume [GBytes],1.7064,1.7367,1.7295,1106.8272,
L3 evict bandwidth [MBytes/s],0.2958,0.2908,0.2851,4550.5805,
L3 evict data volume [GBytes],0.0348,0.0342,0.0336,535.6904,
L3 bandwidth [MBytes/s],14.7916,15.0435,14.9766,13952.8518,
L3 data volume [GBytes],1.7412,1.7709,1.7630,1642.5176,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,470.8764,117.7191,117.7191,117.7191,
Runtime unhalted [s] STAT,133.0635,0.3079,132.1071,33.2659,
Clock [MHz] STAT,14265.8558,3538.0045,3588.9001,3566.4640,
CPI STAT,14.9959,2.9990,5.3774,3.7490,
L3 load bandwidth [MBytes/s] STAT,9446.2112,14.4958,9402.2712,2361.5528,
L3 load data volume [GBytes] STAT,1111.9998,1.7064,1106.8272,278.0000,
L3 evict bandwidth [MBytes/s] STAT,4551.4522,0.2851,4550.5805,1137.8630,
L3 evict data volume [GBytes] STAT,535.7930,0.0336,535.6904,133.9483,
L3 bandwidth [MBytes/s] STAT,13997.6635,14.7916,13952.8518,3499.4159,
L3 data volume [GBytes] STAT,1647.7927,1.7412,1642.5176,411.9482,
