STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192571264 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,12826141,8154776,18458955527,5920144
CPU_CLK_UNHALTED_CORE,FIXC1,80546018,52487843,12160919345,39527312
CPU_CLK_UNHALTED_REF,FIXC2,73638496,46965376,10849344576,35406240
L2_LINES_IN_ALL,PMC0,999871,782182,554513289,610258
L2_TRANS_L2_WB,PMC1,24980,16555,448035275,11671
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,18485856588,5920144,18458955527,4621464147
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12333480518,39527312,12160919345,3.083370e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,11005354688,35406240,10849344576,2751338672
L2_LINES_IN_ALL STAT,PMC0,556905600,610258,554513289,139226400
L2_TRANS_L2_WB STAT,PMC1,448088481,11671,448035275,1.120221e+08
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],3.4314,3.4314,3.4314,3.4314,
Runtime unhalted [s],0.0252,0.0164,3.8091,0.0124,
Clock [MHz],3492.0445,3567.9727,3578.5205,3564.1672,
CPI,6.2798,6.4365,0.6588,6.6767,
L3 load bandwidth [MBytes/s],18.6487,14.5886,10342.3026,11.3820,
L3 load data volume [GBytes],0.0640,0.0501,35.4889,0.0391,
L3 evict bandwidth [MBytes/s],0.4659,0.3088,8356.3667,0.2177,
L3 evict data volume [GBytes],0.0016,0.0011,28.6743,0.0007,
L3 bandwidth [MBytes/s],19.1146,14.8974,18698.6693,11.5997,
L3 data volume [GBytes],0.0656,0.0511,64.1631,0.0398,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,13.7256,3.4314,3.4314,3.4314,
Runtime unhalted [s] STAT,3.8631,0.0124,3.8091,0.9658,
Clock [MHz] STAT,14202.7049,3492.0445,3578.5205,3550.6762,
CPI STAT,20.0518,0.6588,6.6767,5.0130,
L3 load bandwidth [MBytes/s] STAT,10386.9219,11.3820,10342.3026,2596.7305,
L3 load data volume [GBytes] STAT,35.6421,0.0391,35.4889,8.9105,
L3 evict bandwidth [MBytes/s] STAT,8357.3591,0.2177,8356.3667,2089.3398,
L3 evict data volume [GBytes] STAT,28.6777,0.0007,28.6743,7.1694,
L3 bandwidth [MBytes/s] STAT,18744.2810,11.5997,18698.6693,4686.0702,
L3 data volume [GBytes] STAT,64.3196,0.0398,64.1631,16.0799,
