STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192555322 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,91655702,35082014,17569902,56495552813
CPU_CLK_UNHALTED_CORE,FIXC1,114639591,83528662,32015934,18713718189
CPU_CLK_UNHALTED_REF,FIXC2,104510208,75043744,29444736,16658069376
L2_LINES_IN_ALL,PMC0,2291988,2263643,788054,80082387
L2_TRANS_L2_WB,PMC1,81857,56263,20821,4711591
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,56639860431,17569902,56495552813,1.415997e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,18943902376,32015934,18713718189,4735975594
CPU_CLK_UNHALTED_REF STAT,FIXC2,16867068064,29444736,16658069376,4216767016
L2_LINES_IN_ALL STAT,PMC0,85426072,788054,80082387,21356518
L2_TRANS_L2_WB STAT,PMC1,4870532,20821,4711591,1217633
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],5.2479,5.2479,5.2479,5.2479,
Runtime unhalted [s],0.0359,0.0262,0.0100,5.8617,
Clock [MHz],3501.9855,3553.5257,3471.3383,3586.5249,
CPI,1.2508,2.3810,1.8222,0.3312,
L3 load bandwidth [MBytes/s],27.9515,27.6059,9.6106,976.6305,
L3 load data volume [GBytes],0.1467,0.1449,0.0504,5.1253,
L3 evict bandwidth [MBytes/s],0.9983,0.6861,0.2539,57.4594,
L3 evict data volume [GBytes],0.0052,0.0036,0.0013,0.3015,
L3 bandwidth [MBytes/s],28.9498,28.2920,9.8645,1034.0899,
L3 data volume [GBytes],0.1519,0.1485,0.0518,5.4268,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,20.9916,5.2479,5.2479,5.2479,
Runtime unhalted [s] STAT,5.9338,0.0100,5.8617,1.4834,
Clock [MHz] STAT,14113.3744,3471.3383,3586.5249,3528.3436,
CPI STAT,5.7852,0.3312,2.3810,1.4463,
L3 load bandwidth [MBytes/s] STAT,1041.7985,9.6106,976.6305,260.4496,
L3 load data volume [GBytes] STAT,5.4673,0.0504,5.1253,1.3668,
L3 evict bandwidth [MBytes/s] STAT,59.3977,0.2539,57.4594,14.8494,
L3 evict data volume [GBytes] STAT,0.3116,0.0013,0.3015,0.0779,
L3 bandwidth [MBytes/s] STAT,1101.1962,9.8645,1034.0899,275.2990,
L3 data volume [GBytes] STAT,5.7790,0.0518,5.4268,1.4447,
