STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192546882 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,78365192516,1178915425,1298999290,1379892961
CPU_CLK_UNHALTED_CORE,FIXC1,515400321136,2122880583,1978397163,2330433117
CPU_CLK_UNHALTED_REF,FIXC2,471289942368,1958951872,1828638080,2149838688
L2_LINES_IN_ALL,PMC0,17604883489,42182102,35748608,42582153
L2_TRANS_L2_WB,PMC1,6689644161,1772953,1295784,1365762
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,82223000192,1178915425,78365192516,20555750048
CPU_CLK_UNHALTED_CORE STAT,FIXC1,521832031999,1978397163,515400321136,1.304580e+11
CPU_CLK_UNHALTED_REF STAT,FIXC2,477227371008,1828638080,471289942368,119306842752
L2_LINES_IN_ALL STAT,PMC0,17725396352,35748608,17604883489,4431349088
L2_TRANS_L2_WB STAT,PMC1,6694078660,1295784,6689644161,1673519665
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],147.8782,147.8782,147.8782,147.8782,
Runtime unhalted [s],161.4386,0.6649,0.6197,0.7300,
Clock [MHz],3491.3533,3459.7051,3454.0053,3460.7327,
CPI,6.5769,1.8007,1.5230,1.6889,
L3 load bandwidth [MBytes/s],7619.1916,18.2559,15.4716,18.4291,
L3 load data volume [GBytes],1126.7125,2.6997,2.2879,2.7253,
L3 evict bandwidth [MBytes/s],2895.2013,0.7673,0.5608,0.5911,
L3 evict data volume [GBytes],428.1372,0.1135,0.0829,0.0874,
L3 bandwidth [MBytes/s],10514.3929,19.0232,16.0324,19.0202,
L3 data volume [GBytes],1554.8498,2.8131,2.3708,2.8127,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,591.5128,147.8782,147.8782,147.8782,
Runtime unhalted [s] STAT,163.4532,0.6197,161.4386,40.8633,
Clock [MHz] STAT,13865.7964,3454.0053,3491.3533,3466.4491,
CPI STAT,11.5895,1.5230,6.5769,2.8974,
L3 load bandwidth [MBytes/s] STAT,7671.3482,15.4716,7619.1916,1917.8371,
L3 load data volume [GBytes] STAT,1134.4254,2.2879,1126.7125,283.6064,
L3 evict bandwidth [MBytes/s] STAT,2897.1205,0.5608,2895.2013,724.2801,
L3 evict data volume [GBytes] STAT,428.4210,0.0829,428.1372,107.1052,
L3 bandwidth [MBytes/s] STAT,10568.4687,16.0324,10514.3929,2642.1172,
L3 data volume [GBytes] STAT,1562.8464,2.3708,1554.8498,390.7116,
