STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192289141 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,7065223,82042450760,18089034,19854768
CPU_CLK_UNHALTED_CORE,FIXC1,23768236,21165025365,42595776,59747943
CPU_CLK_UNHALTED_REF,FIXC2,21390208,18835519040,38182464,53310208
L2_LINES_IN_ALL,PMC0,590371,53106002,1569931,1836357
L2_TRANS_L2_WB,PMC1,12062,5141504,35165,37454
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,82087459785,7065223,82042450760,2.052186e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,21291137320,23768236,21165025365,5322784330
CPU_CLK_UNHALTED_REF STAT,FIXC2,18948401920,21390208,18835519040,4737100480
L2_LINES_IN_ALL STAT,PMC0,57102661,590371,53106002,1.427567e+07
L2_TRANS_L2_WB STAT,PMC1,5226185,12062,5141504,1.306546e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],5.9275,5.9275,5.9275,5.9275,
Runtime unhalted [s],0.0074,6.6300,0.0133,0.0187,
Clock [MHz],3547.1877,3587.0995,3561.2692,3577.7896,
CPI,3.3641,0.2580,2.3548,3.0092,
L3 load bandwidth [MBytes/s],6.3744,573.3968,16.9509,19.8275,
L3 load data volume [GBytes],0.0378,3.3988,0.1005,0.1175,
L3 evict bandwidth [MBytes/s],0.1302,55.5139,0.3797,0.4044,
L3 evict data volume [GBytes],0.0008,0.3291,0.0023,0.0024,
L3 bandwidth [MBytes/s],6.5046,628.9107,17.3306,20.2319,
L3 data volume [GBytes],0.0386,3.7278,0.1027,0.1199,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,23.7100,5.9275,5.9275,5.9275,
Runtime unhalted [s] STAT,6.6694,0.0074,6.6300,1.6673,
Clock [MHz] STAT,14273.3460,3547.1877,3587.0995,3568.3365,
CPI STAT,8.9861,0.2580,3.3641,2.2465,
L3 load bandwidth [MBytes/s] STAT,616.5496,6.3744,573.3968,154.1374,
L3 load data volume [GBytes] STAT,3.6546,0.0378,3.3988,0.9136,
L3 evict bandwidth [MBytes/s] STAT,56.4282,0.1302,55.5139,14.1071,
L3 evict data volume [GBytes] STAT,0.3346,0.0008,0.3291,0.0837,
L3 bandwidth [MBytes/s] STAT,672.9778,6.5046,628.9107,168.2445,
L3 data volume [GBytes] STAT,3.9890,0.0386,3.7278,0.9972,
