STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192562495 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,11352644439,11740749181,17269191811,13140777155
CPU_CLK_UNHALTED_CORE,FIXC1,95572846371,96315788651,94770922964,95544201984
CPU_CLK_UNHALTED_REF,FIXC2,93754321376,94434447616,93003815264,93728541024
L2_LINES_IN_ALL,PMC0,912537247,959416958,700303630,789117479
L2_TRANS_L2_WB,PMC1,4307311,4531822,2963131,707975
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,53503362586,11352644439,17269191811,1.337584e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,382203759970,94770922964,96315788651,9.555094e+10
CPU_CLK_UNHALTED_REF STAT,FIXC2,374921125280,93003815264,94434447616,93730281320
L2_LINES_IN_ALL STAT,PMC0,3361375314,700303630,959416958,8.403438e+08
L2_TRANS_L2_WB STAT,PMC1,12510239,707975,4531822,3.127560e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],29.7149,29.7149,29.7149,29.7149,
Runtime unhalted [s],29.9361,30.1688,29.6849,29.9271,
Clock [MHz],3254.4877,3256.1653,3253.2224,3254.4072,
CPI,8.4186,8.2035,5.4879,7.2708,
L3 load bandwidth [MBytes/s],1965.4274,2066.3972,1508.3175,1699.6053,
L3 load data volume [GBytes],58.4024,61.4027,44.8194,50.5035,
L3 evict bandwidth [MBytes/s],9.2771,9.7607,6.3820,1.5248,
L3 evict data volume [GBytes],0.2757,0.2900,0.1896,0.0453,
L3 bandwidth [MBytes/s],1974.7045,2076.1578,1514.6996,1701.1301,
L3 data volume [GBytes],58.6781,61.6927,45.0091,50.5488,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,118.8596,29.7149,29.7149,29.7149,
Runtime unhalted [s] STAT,119.7169,29.6849,30.1688,29.9292,
Clock [MHz] STAT,13018.2826,3253.2224,3256.1653,3254.5707,
CPI STAT,29.3808,5.4879,8.4186,7.3452,
L3 load bandwidth [MBytes/s] STAT,7239.7474,1508.3175,2066.3972,1809.9369,
L3 load data volume [GBytes] STAT,215.1280,44.8194,61.4027,53.7820,
L3 evict bandwidth [MBytes/s] STAT,26.9446,1.5248,9.7607,6.7362,
L3 evict data volume [GBytes] STAT,0.8006,0.0453,0.2900,0.2001,
L3 bandwidth [MBytes/s] STAT,7266.6920,1514.6996,2076.1578,1816.6730,
L3 data volume [GBytes] STAT,215.9287,45.0091,61.6927,53.9822,
