STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192569417 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,82126558,266239935530,452649604579,226093442
CPU_CLK_UNHALTED_CORE,FIXC1,108539754,430482161141,744162667110,321884180
CPU_CLK_UNHALTED_REF,FIXC2,99098592,382751329312,661620737888,291444032
L2_LINES_IN_ALL,PMC0,2504397,3164060089,5487266295,5441563
L2_TRANS_L2_WB,PMC1,85677,4167480,668485,210887
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,719197760109,82126558,452649604579,1.797994e+11
CPU_CLK_UNHALTED_CORE STAT,FIXC1,1175075252185,108539754,744162667110,2.937688e+11
CPU_CLK_UNHALTED_REF STAT,FIXC2,1044762609824,99098592,661620737888,261190652456
L2_LINES_IN_ALL STAT,PMC0,8659272344,2504397,5487266295,2164818086
L2_TRANS_L2_WB STAT,PMC1,5132529,85677,4167480,1.283132e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],327.3837,327.3837,327.3837,327.3837,
Runtime unhalted [s],0.0340,134.8388,233.0921,0.1008,
Clock [MHz],3496.7268,3590.6973,3590.8653,3526.0204,
CPI,1.3216,1.6169,1.6440,1.4237,
L3 load bandwidth [MBytes/s],0.4896,618.5399,1072.7018,1.0638,
L3 load data volume [GBytes],0.1603,202.4998,351.1850,0.3483,
L3 evict bandwidth [MBytes/s],0.0167,0.8147,0.1307,0.0412,
L3 evict data volume [GBytes],0.0055,0.2667,0.0428,0.0135,
L3 bandwidth [MBytes/s],0.5063,619.3546,1072.8325,1.1050,
L3 data volume [GBytes],0.1658,202.7666,351.2278,0.3618,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,1309.5348,327.3837,327.3837,327.3837,
Runtime unhalted [s] STAT,368.0657,0.0340,233.0921,92.0164,
Clock [MHz] STAT,14204.3098,3496.7268,3590.8653,3551.0774,
CPI STAT,6.0062,1.3216,1.6440,1.5016,
L3 load bandwidth [MBytes/s] STAT,1692.7951,0.4896,1072.7018,423.1988,
L3 load data volume [GBytes] STAT,554.1934,0.1603,351.1850,138.5483,
L3 evict bandwidth [MBytes/s] STAT,1.0033,0.0167,0.8147,0.2508,
L3 evict data volume [GBytes] STAT,0.3285,0.0055,0.2667,0.0821,
L3 bandwidth [MBytes/s] STAT,1693.7984,0.5063,1072.8325,423.4496,
L3 data volume [GBytes] STAT,554.5220,0.1658,351.2278,138.6305,
