STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192577715 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,718772195134,143834917,15421522,40172830
CPU_CLK_UNHALTED_CORE,FIXC1,978197440301,195969965,31448418,86147326
CPU_CLK_UNHALTED_REF,FIXC2,928611066240,181050304,29117760,81013984
L2_LINES_IN_ALL,PMC0,9193199001,2872268,713284,1429071
L2_TRANS_L2_WB,PMC1,7815998,129827,12890,28079
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,718971624403,15421522,718772195134,1.797429e+11
CPU_CLK_UNHALTED_CORE STAT,FIXC1,978511006010,31448418,978197440301,2.446278e+11
CPU_CLK_UNHALTED_REF STAT,FIXC2,928902248288,29117760,928611066240,232225562072
L2_LINES_IN_ALL STAT,PMC0,9198213624,713284,9193199001,2299553406
L2_TRANS_L2_WB STAT,PMC1,7986794,12890,7815998,1.996698e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],291.1398,291.1398,291.1398,291.1398,
Runtime unhalted [s],306.3974,0.0614,0.0099,0.0270,
Clock [MHz],3363.0564,3455.6658,3448.1196,3394.8711,
CPI,1.3609,1.3625,2.0393,2.1444,
L3 load bandwidth [MBytes/s],2020.9013,0.6314,0.1568,0.3141,
L3 load data volume [GBytes],588.3647,0.1838,0.0457,0.0915,
L3 evict bandwidth [MBytes/s],1.7182,0.0285,0.0028,0.0062,
L3 evict data volume [GBytes],0.5002,0.0083,0.0008,0.0018,
L3 bandwidth [MBytes/s],2022.6194,0.6599,0.1596,0.3203,
L3 data volume [GBytes],588.8650,0.1921,0.0465,0.0933,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,1164.5592,291.1398,291.1398,291.1398,
Runtime unhalted [s] STAT,306.4957,0.0099,306.3974,76.6239,
Clock [MHz] STAT,13661.7129,3363.0564,3455.6658,3415.4282,
CPI STAT,6.9071,1.3609,2.1444,1.7268,
L3 load bandwidth [MBytes/s] STAT,2022.0036,0.1568,2020.9013,505.5009,
L3 load data volume [GBytes] STAT,588.6857,0.0457,588.3647,147.1714,
L3 evict bandwidth [MBytes/s] STAT,1.7557,0.0028,1.7182,0.4389,
L3 evict data volume [GBytes] STAT,0.5111,0.0008,0.5002,0.1278,
L3 bandwidth [MBytes/s] STAT,2023.7592,0.1596,2022.6194,505.9398,
L3 data volume [GBytes] STAT,589.1969,0.0465,588.8650,147.2992,
