STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192568767 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,36558176,479564800967,429777055963,16736860
CPU_CLK_UNHALTED_CORE,FIXC1,61588995,357580656721,358619756043,33746459
CPU_CLK_UNHALTED_REF,FIXC2,56532192,318150086976,319059467712,31117792
L2_LINES_IN_ALL,PMC0,975993,2650779044,2459239574,644867
L2_TRANS_L2_WB,PMC1,32222,4943972,436,20879
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,909395151966,16736860,479564800967,2.273488e+11
CPU_CLK_UNHALTED_CORE STAT,FIXC1,716295748218,33746459,358619756043,1.790739e+11
CPU_CLK_UNHALTED_REF STAT,FIXC2,637297204672,31117792,319059467712,159324301168
L2_LINES_IN_ALL STAT,PMC0,5111639478,644867,2650779044,1.277910e+09
L2_TRANS_L2_WB STAT,PMC1,4997509,436,4943972,1.249377e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],101.9346,101.9346,101.9346,101.9346,
Runtime unhalted [s],0.0193,112.0041,112.3295,0.0106,
Clock [MHz],3478.1440,3588.2462,3588.4164,3462.2601,
CPI,1.6847,0.7456,0.8344,2.0163,
L3 load bandwidth [MBytes/s],0.6128,1664.3013,1544.0426,0.4049,
L3 load data volume [GBytes],0.0625,169.6499,157.3913,0.0413,
L3 evict bandwidth [MBytes/s],0.0202,3.1041,0.0003,0.0131,
L3 evict data volume [GBytes],0.0021,0.3164,2.790400e-05,0.0013,
L3 bandwidth [MBytes/s],0.6330,1667.4054,1544.0429,0.4180,
L3 data volume [GBytes],0.0645,169.9663,157.3914,0.0426,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,407.7384,101.9346,101.9346,101.9346,
Runtime unhalted [s] STAT,224.3635,0.0106,112.3295,56.0909,
Clock [MHz] STAT,14117.0667,3462.2601,3588.4164,3529.2667,
CPI STAT,5.2810,0.7456,2.0163,1.3203,
L3 load bandwidth [MBytes/s] STAT,3209.3616,0.4049,1664.3013,802.3404,
L3 load data volume [GBytes] STAT,327.1450,0.0413,169.6499,81.7862,
L3 evict bandwidth [MBytes/s] STAT,3.1377,0.0003,3.1041,0.7844,
L3 evict data volume [GBytes] STAT,0.3198,2.790400e-05,0.3164,0.0800,
L3 bandwidth [MBytes/s] STAT,3212.4993,0.4180,1667.4054,803.1248,
L3 data volume [GBytes] STAT,327.4648,0.0426,169.9663,81.8662,
