STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192553003 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,48263967493,29907513,21543450,49558617674
CPU_CLK_UNHALTED_CORE,FIXC1,20395133438,79457022,72063448,20956168659
CPU_CLK_UNHALTED_REF,FIXC2,18663440416,73884096,66709312,19185793152
L2_LINES_IN_ALL,PMC0,367669767,2501227,1767993,379680841
L2_TRANS_L2_WB,PMC1,2062544,72625,40447,7565236
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,97874036130,21543450,49558617674,2.446851e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,41502822567,72063448,20956168659,1.037571e+10
CPU_CLK_UNHALTED_REF STAT,FIXC2,37989826976,66709312,19185793152,9497456744
L2_LINES_IN_ALL STAT,PMC0,751619828,1767993,379680841,187904957
L2_TRANS_L2_WB STAT,PMC1,9740852,40447,7565236,2435213
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],6.1247,6.1247,6.1247,6.1247,
Runtime unhalted [s],6.3883,0.0249,0.0226,6.5641,
Clock [MHz],3488.7750,3433.3607,3448.7895,3487.1469,
CPI,0.4226,2.6568,3.3450,0.4229,
L3 load bandwidth [MBytes/s],3841.9887,26.1367,18.4748,3967.4992,
L3 load data volume [GBytes],23.5309,0.1601,0.1132,24.2996,
L3 evict bandwidth [MBytes/s],21.5527,0.7589,0.4227,79.0534,
L3 evict data volume [GBytes],0.1320,0.0046,0.0026,0.4842,
L3 bandwidth [MBytes/s],3863.5414,26.8956,18.8974,4046.5526,
L3 data volume [GBytes],23.6629,0.1647,0.1157,24.7837,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,24.4988,6.1247,6.1247,6.1247,
Runtime unhalted [s] STAT,12.9999,0.0226,6.5641,3.2500,
Clock [MHz] STAT,13858.0721,3433.3607,3488.7750,3464.5180,
CPI STAT,6.8473,0.4226,3.3450,1.7118,
L3 load bandwidth [MBytes/s] STAT,7854.0994,18.4748,3967.4992,1963.5249,
L3 load data volume [GBytes] STAT,48.1038,0.1132,24.2996,12.0259,
L3 evict bandwidth [MBytes/s] STAT,101.7877,0.4227,79.0534,25.4469,
L3 evict data volume [GBytes] STAT,0.6234,0.0026,0.4842,0.1558,
L3 bandwidth [MBytes/s] STAT,7955.8870,18.8974,4046.5526,1988.9717,
L3 data volume [GBytes] STAT,48.7270,0.1157,24.7837,12.1818,
