STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.19257256 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,54094998807,53078151254,72501747692,57949033156
CPU_CLK_UNHALTED_CORE,FIXC1,410397065289,410803391998,411696700328,410987221582
CPU_CLK_UNHALTED_REF,FIXC2,397844325472,398232728288,399057021504,398412749344
L2_LINES_IN_ALL,PMC0,5397507703,5800184717,4394300930,5100299032
L2_TRANS_L2_WB,PMC1,3333791,659166,4338123,361966
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,237623930909,53078151254,72501747692,5.940598e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,1643884379197,410397065289,411696700328,4.109711e+11
CPU_CLK_UNHALTED_REF STAT,FIXC2,1593546824608,397844325472,399057021504,398386706152
L2_LINES_IN_ALL STAT,PMC0,20692292382,4394300930,5800184717,5.173073e+09
L2_TRANS_L2_WB STAT,PMC1,8693046,361966,4338123,2.173262e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],125.2249,125.2249,125.2249,125.2249,
Runtime unhalted [s],128.5475,128.6747,128.9545,128.7323,
Clock [MHz],3293.3043,3293.3497,3293.6937,3293.3347,
CPI,7.5866,7.7396,5.6784,7.0922,
L3 load bandwidth [MBytes/s],2758.5612,2964.3615,2245.8417,2606.6636,
L3 load data volume [GBytes],345.4405,371.2118,281.2353,326.4191,
L3 evict bandwidth [MBytes/s],1.7038,0.3369,2.2171,0.1850,
L3 evict data volume [GBytes],0.2134,0.0422,0.2776,0.0232,
L3 bandwidth [MBytes/s],2760.2650,2964.6984,2248.0588,2606.8486,
L3 data volume [GBytes],345.6539,371.2540,281.5129,326.4423,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,500.8996,125.2249,125.2249,125.2249,
Runtime unhalted [s] STAT,514.9090,128.5475,128.9545,128.7273,
Clock [MHz] STAT,13173.6824,3293.3043,3293.6937,3293.4206,
CPI STAT,28.0968,5.6784,7.7396,7.0242,
L3 load bandwidth [MBytes/s] STAT,10575.4280,2245.8417,2964.3615,2643.8570,
L3 load data volume [GBytes] STAT,1324.3067,281.2353,371.2118,331.0767,
L3 evict bandwidth [MBytes/s] STAT,4.4428,0.1850,2.2171,1.1107,
L3 evict data volume [GBytes] STAT,0.5564,0.0232,0.2776,0.1391,
L3 bandwidth [MBytes/s] STAT,10579.8708,2248.0588,2964.6984,2644.9677,
L3 data volume [GBytes] STAT,1324.8631,281.5129,371.2540,331.2158,
