STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192573397 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,39396167855,71358043,125936270,40918155818
CPU_CLK_UNHALTED_CORE,FIXC1,86017670294,222166850,362228708,86686259709
CPU_CLK_UNHALTED_REF,FIXC2,80430433280,207522976,337905120,81040441152
L2_LINES_IN_ALL,PMC0,8754442137,6370208,10883097,8725047553
L2_TRANS_L2_WB,PMC1,4293047234,133651,229617,4300443456
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,80511617986,71358043,40918155818,2.012790e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,173288325561,222166850,86686259709,4.332208e+10
CPU_CLK_UNHALTED_REF STAT,FIXC2,162016302528,207522976,81040441152,40504075632
L2_LINES_IN_ALL STAT,PMC0,17496742995,6370208,8754442137,4.374186e+09
L2_TRANS_L2_WB STAT,PMC1,8593853958,133651,4300443456,2.148463e+09
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],25.5215,25.5215,25.5215,25.5215,
Runtime unhalted [s],26.9431,0.0696,0.1135,27.1525,
Clock [MHz],3414.3509,3417.8576,3422.3860,3414.9894,
CPI,2.1834,3.1134,2.8763,2.1185,
L3 load bandwidth [MBytes/s],21953.4296,15.9745,27.2914,21879.7171,
L3 load data volume [GBytes],560.2843,0.4077,0.6965,558.4030,
L3 evict bandwidth [MBytes/s],10765.6329,0.3352,0.5758,10784.1803,
L3 evict data volume [GBytes],274.7550,0.0086,0.0147,275.2284,
L3 bandwidth [MBytes/s],32719.0625,16.3097,27.8672,32663.8974,
L3 data volume [GBytes],835.0393,0.4162,0.7112,833.6314,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,102.0860,25.5215,25.5215,25.5215,
Runtime unhalted [s] STAT,54.2787,0.0696,27.1525,13.5697,
Clock [MHz] STAT,13669.5839,3414.3509,3422.3860,3417.3960,
CPI STAT,10.2916,2.1185,3.1134,2.5729,
L3 load bandwidth [MBytes/s] STAT,43876.4126,15.9745,21953.4296,10969.1031,
L3 load data volume [GBytes] STAT,1119.7915,0.4077,560.2843,279.9479,
L3 evict bandwidth [MBytes/s] STAT,21550.7242,0.3352,10784.1803,5387.6811,
L3 evict data volume [GBytes] STAT,550.0067,0.0086,275.2284,137.5017,
L3 bandwidth [MBytes/s] STAT,65427.1368,16.3097,32719.0625,16356.7842,
L3 data volume [GBytes] STAT,1669.7981,0.4162,835.0393,417.4495,
