STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192552535 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,19658710620,19796846601,20872812034,20059839697
CPU_CLK_UNHALTED_CORE,FIXC1,208740849775,217717888203,217947974750,212268054812
CPU_CLK_UNHALTED_REF,FIXC2,202332826528,210412061792,210635652160,205536987104
L2_LINES_IN_ALL,PMC0,4593393959,4641201292,4639963680,4632005376
L2_TRANS_L2_WB,PMC1,1736329027,1565217745,1597687198,1706134459
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,80388208952,19658710620,20872812034,20097052238
CPU_CLK_UNHALTED_CORE STAT,FIXC1,856674767540,208740849775,217947974750,214168691885
CPU_CLK_UNHALTED_REF STAT,FIXC2,828917527584,202332826528,210635652160,207229381896
L2_LINES_IN_ALL STAT,PMC0,18506564307,4593393959,4641201292,4.626641e+09
L2_TRANS_L2_WB STAT,PMC1,6605368429,1565217745,1736329027,1.651342e+09
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],66.3580,66.3580,66.3580,66.3580,
Runtime unhalted [s],65.3837,68.1956,68.2676,66.4885,
Clock [MHz],3293.6629,3303.4028,3303.3836,3297.1045,
CPI,10.6182,10.9976,10.4417,10.5817,
L3 load bandwidth [MBytes/s],4430.1715,4476.2800,4475.0864,4467.4109,
L3 load data volume [GBytes],293.9772,297.0369,296.9577,296.4483,
L3 evict bandwidth [MBytes/s],1674.6300,1509.5990,1540.9147,1645.5084,
L3 evict data volume [GBytes],111.1251,100.1739,102.2520,109.1926,
L3 bandwidth [MBytes/s],6104.8015,5985.8790,6016.0011,6112.9192,
L3 data volume [GBytes],405.1023,397.2108,399.2097,405.6409,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,265.4320,66.3580,66.3580,66.3580,
Runtime unhalted [s] STAT,268.3354,65.3837,68.2676,67.0838,
Clock [MHz] STAT,13197.5538,3293.6629,3303.4028,3299.3884,
CPI STAT,42.6392,10.4417,10.9976,10.6598,
L3 load bandwidth [MBytes/s] STAT,17848.9488,4430.1715,4476.2800,4462.2372,
L3 load data volume [GBytes] STAT,1184.4201,293.9772,297.0369,296.1050,
L3 evict bandwidth [MBytes/s] STAT,6370.6521,1509.5990,1674.6300,1592.6630,
L3 evict data volume [GBytes] STAT,422.7436,100.1739,111.1251,105.6859,
L3 bandwidth [MBytes/s] STAT,24219.6008,5985.8790,6112.9192,6054.9002,
L3 data volume [GBytes] STAT,1607.1637,397.2108,405.6409,401.7909,
