STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192576989 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,20680126299,20057152761,19722133289,19584438968
CPU_CLK_UNHALTED_CORE,FIXC1,208753082535,213067638253,210954439850,209755182855
CPU_CLK_UNHALTED_REF,FIXC2,202443323584,206265881728,204413077760,203354391616
L2_LINES_IN_ALL,PMC0,4571770542,4639827462,4598087913,4584381549
L2_TRANS_L2_WB,PMC1,1798938058,1731484214,1749104649,1768522769
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,80043851317,19584438968,20680126299,2.001096e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,842530343493,208753082535,213067638253,2.106326e+11
CPU_CLK_UNHALTED_REF STAT,FIXC2,816476674688,202443323584,206265881728,204119168672
L2_LINES_IN_ALL STAT,PMC0,18394067466,4571770542,4639827462,4.598517e+09
L2_TRANS_L2_WB STAT,PMC1,7048049690,1731484214,1798938058,1.762012e+09
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],65.0989,65.0989,65.0989,65.0989,
Runtime unhalted [s],65.3870,66.7384,66.0765,65.7009,
Clock [MHz],3292.0833,3297.8544,3294.7417,3293.0667,
CPI,10.0944,10.6230,10.6963,10.7103,
L3 load bandwidth [MBytes/s],4494.5962,4561.5043,4520.4693,4506.9943,
L3 load data volume [GBytes],292.5933,296.9490,294.2776,293.4004,
L3 evict bandwidth [MBytes/s],1768.5709,1702.2557,1719.5787,1738.6690,
L3 evict data volume [GBytes],115.1320,110.8150,111.9427,113.1855,
L3 bandwidth [MBytes/s],6263.1670,6263.7599,6240.0480,6245.6633,
L3 data volume [GBytes],407.7254,407.7639,406.2203,406.5859,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,260.3956,65.0989,65.0989,65.0989,
Runtime unhalted [s] STAT,263.9028,65.3870,66.7384,65.9757,
Clock [MHz] STAT,13177.7461,3292.0833,3297.8544,3294.4365,
CPI STAT,42.1240,10.0944,10.7103,10.5310,
L3 load bandwidth [MBytes/s] STAT,18083.5641,4494.5962,4561.5043,4520.8910,
L3 load data volume [GBytes] STAT,1177.2203,292.5933,296.9490,294.3051,
L3 evict bandwidth [MBytes/s] STAT,6929.0743,1702.2557,1768.5709,1732.2686,
L3 evict data volume [GBytes] STAT,451.0752,110.8150,115.1320,112.7688,
L3 bandwidth [MBytes/s] STAT,25012.6382,6240.0480,6263.7599,6253.1596,
L3 data volume [GBytes] STAT,1628.2955,406.2203,407.7639,407.0739,
