STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192256188 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,84456864,79074730265,45972366,155629626
CPU_CLK_UNHALTED_CORE,FIXC1,204382485,73352249998,118151915,222600726
CPU_CLK_UNHALTED_REF,FIXC2,182881760,65227398976,105902304,198866912
L2_LINES_IN_ALL,PMC0,5424785,24889495,4188237,5790756
L2_TRANS_L2_WB,PMC1,141117,8610452,83984,278581
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,79360789121,45972366,79074730265,1.984020e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,73897385124,118151915,73352249998,18474346281
CPU_CLK_UNHALTED_REF STAT,FIXC2,65715049952,105902304,65227398976,16428762488
L2_LINES_IN_ALL STAT,PMC0,40293273,4188237,24889495,1.007332e+07
L2_TRANS_L2_WB STAT,PMC1,9114134,83984,8610452,2.278534e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],20.4752,20.4752,20.4752,20.4752,
Runtime unhalted [s],0.0640,22.9782,0.0370,0.0697,
Clock [MHz],3567.5578,3589.8898,3561.5012,3573.2367,
CPI,2.4200,0.9276,2.5701,1.4303,
L3 load bandwidth [MBytes/s],16.9564,77.7978,13.0913,18.1003,
L3 load data volume [GBytes],0.3472,1.5929,0.2680,0.3706,
L3 evict bandwidth [MBytes/s],0.4411,26.9139,0.2625,0.8708,
L3 evict data volume [GBytes],0.0090,0.5511,0.0054,0.0178,
L3 bandwidth [MBytes/s],17.3975,104.7117,13.3538,18.9711,
L3 data volume [GBytes],0.3562,2.1440,0.2734,0.3884,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,81.9008,20.4752,20.4752,20.4752,
Runtime unhalted [s] STAT,23.1489,0.0370,22.9782,5.7872,
Clock [MHz] STAT,14292.1855,3561.5012,3589.8898,3573.0464,
CPI STAT,7.3480,0.9276,2.5701,1.8370,
L3 load bandwidth [MBytes/s] STAT,125.9458,13.0913,77.7978,31.4865,
L3 load data volume [GBytes] STAT,2.5787,0.2680,1.5929,0.6447,
L3 evict bandwidth [MBytes/s] STAT,28.4883,0.2625,26.9139,7.1221,
L3 evict data volume [GBytes] STAT,0.5833,0.0054,0.5511,0.1458,
L3 bandwidth [MBytes/s] STAT,154.4341,13.3538,104.7117,38.6085,
L3 data volume [GBytes] STAT,3.1620,0.2734,2.1440,0.7905,
