STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192501497 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,55361149,41256965903,43257516267,74815281
CPU_CLK_UNHALTED_CORE,FIXC1,147636424,62051229308,62799035845,208877016
CPU_CLK_UNHALTED_REF,FIXC2,136145504,55219163936,55900496704,191797184
L2_LINES_IN_ALL,PMC0,5036299,637258975,676184973,6541433
L2_TRANS_L2_WB,PMC1,115253,14353,6157672,144125
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,84644658600,55361149,43257516267,21161164650
CPU_CLK_UNHALTED_CORE STAT,FIXC1,125206778593,147636424,62799035845,3.130169e+10
CPU_CLK_UNHALTED_REF STAT,FIXC2,111447603328,136145504,55900496704,27861900832
L2_LINES_IN_ALL STAT,PMC0,1325021680,5036299,676184973,331255420
L2_TRANS_L2_WB STAT,PMC1,6431403,14353,6157672,1.607851e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],17.6401,17.6401,17.6401,17.6401,
Runtime unhalted [s],0.0462,19.4366,19.6708,0.0654,
Clock [MHz],3461.9542,3587.4980,3586.4800,3476.7986,
CPI,2.6668,1.5040,1.4517,2.7919,
L3 load bandwidth [MBytes/s],18.2722,2312.0403,2453.2677,23.7330,
L3 load data volume [GBytes],0.3223,40.7846,43.2758,0.4187,
L3 evict bandwidth [MBytes/s],0.4181,0.0521,22.3407,0.5229,
L3 evict data volume [GBytes],0.0074,0.0009,0.3941,0.0092,
L3 bandwidth [MBytes/s],18.6904,2312.0923,2475.6084,24.2559,
L3 data volume [GBytes],0.3297,40.7855,43.6699,0.4279,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,70.5604,17.6401,17.6401,17.6401,
Runtime unhalted [s] STAT,39.2190,0.0462,19.6708,9.8047,
Clock [MHz] STAT,14112.7308,3461.9542,3587.4980,3528.1827,
CPI STAT,8.4144,1.4517,2.7919,2.1036,
L3 load bandwidth [MBytes/s] STAT,4807.3132,18.2722,2453.2677,1201.8283,
L3 load data volume [GBytes] STAT,84.8014,0.3223,43.2758,21.2004,
L3 evict bandwidth [MBytes/s] STAT,23.3338,0.0521,22.3407,5.8334,
L3 evict data volume [GBytes] STAT,0.4116,0.0009,0.3941,0.1029,
L3 bandwidth [MBytes/s] STAT,4830.6470,18.6904,2475.6084,1207.6617,
L3 data volume [GBytes] STAT,85.2130,0.3297,43.6699,21.3032,
