STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192541697 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,6927762,8762746,8854540959,9882156968
CPU_CLK_UNHALTED_CORE,FIXC1,26095214,50019511,6184942315,6947570401
CPU_CLK_UNHALTED_REF,FIXC2,24019328,45872256,5512339136,6209455424
L2_LINES_IN_ALL,PMC0,601869,774916,304248584,310115203
L2_TRANS_L2_WB,PMC1,14020,15726,246794,4152847
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,18752388435,6927762,9882156968,4.688097e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,13208627441,26095214,6947570401,3.302157e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,11791686144,24019328,6209455424,2947921536
L2_LINES_IN_ALL STAT,PMC0,615740572,601869,310115203,153935143
L2_TRANS_L2_WB STAT,PMC1,4429387,14020,4152847,1.107347e+06
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],1.9815,1.9815,1.9815,1.9815,
Runtime unhalted [s],0.0082,0.0157,1.9373,2.1762,
Clock [MHz],3468.4592,3481.1755,3582.0884,3572.0376,
CPI,3.7668,5.7082,0.6985,0.7030,
L3 load bandwidth [MBytes/s],19.4396,25.0288,9826.8613,10016.3460,
L3 load data volume [GBytes],0.0385,0.0496,19.4719,19.8474,
L3 evict bandwidth [MBytes/s],0.4528,0.5079,7.9711,134.1319,
L3 evict data volume [GBytes],0.0009,0.0010,0.0158,0.2658,
L3 bandwidth [MBytes/s],19.8925,25.5368,9834.8325,10150.4780,
L3 data volume [GBytes],0.0394,0.0506,19.4877,20.1132,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,7.9260,1.9815,1.9815,1.9815,
Runtime unhalted [s] STAT,4.1374,0.0082,2.1762,1.0344,
Clock [MHz] STAT,14103.7607,3468.4592,3582.0884,3525.9402,
CPI STAT,10.8765,0.6985,5.7082,2.7191,
L3 load bandwidth [MBytes/s] STAT,19887.6757,19.4396,10016.3460,4971.9189,
L3 load data volume [GBytes] STAT,39.4074,0.0385,19.8474,9.8519,
L3 evict bandwidth [MBytes/s] STAT,143.0637,0.4528,134.1319,35.7659,
L3 evict data volume [GBytes] STAT,0.2835,0.0009,0.2658,0.0709,
L3 bandwidth [MBytes/s] STAT,20030.7398,19.8925,10150.4780,5007.6849,
L3 data volume [GBytes] STAT,39.6909,0.0394,20.1132,9.9227,
