STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,,,,
CPU type:,Intel Core Haswell processor,,,,
CPU clock:,3.192310919 GHz,,,,
TABLE,Group 1 Raw,L3,5,,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
INSTR_RETIRED_ANY,FIXC0,5692731129,4710019153,4695047453,4650943467
CPU_CLK_UNHALTED_CORE,FIXC1,16948668710,16300412168,16259305985,15331335709
CPU_CLK_UNHALTED_REF,FIXC2,16822125856,16215704960,16182047616,15280264064
L2_LINES_IN_ALL,PMC0,196947178,195081616,189558901,180411165
L2_TRANS_L2_WB,PMC1,69029372,64926021,58075002,62964727
TABLE,Group 1 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,19748741202,4650943467,5692731129,4.937185e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,64839722572,15331335709,16948668710,16209930643
CPU_CLK_UNHALTED_REF STAT,FIXC2,64500142496,15280264064,16822125856,16125035624
L2_LINES_IN_ALL STAT,PMC0,761998860,180411165,196947178,190499715
L2_TRANS_L2_WB STAT,PMC1,254995122,58075002,69029372,6.374878e+07
TABLE,Group 1 Metric,L3,10,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],5.3579,5.3579,5.3579,5.3579,
Runtime unhalted [s],5.3092,5.1061,5.0933,4.8026,
Clock [MHz],3216.3248,3208.9868,3207.5521,3202.9807,
CPI,2.9772,3.4608,3.4631,3.2964,
L3 load bandwidth [MBytes/s],2352.5173,2330.2333,2264.2649,2154.9960,
L3 load data volume [GBytes],12.6046,12.4852,12.1318,11.5463,
L3 evict bandwidth [MBytes/s],824.5500,775.5358,693.7010,752.1083,
L3 evict data volume [GBytes],4.4179,4.1553,3.7168,4.0297,
L3 bandwidth [MBytes/s],3177.0672,3105.7691,2957.9659,2907.1043,
L3 data volume [GBytes],17.0225,16.6405,15.8486,15.5761,
TABLE,Group 1 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,21.4316,5.3579,5.3579,5.3579,
Runtime unhalted [s] STAT,20.3112,4.8026,5.3092,5.0778,
Clock [MHz] STAT,12835.8444,3202.9807,3216.3248,3208.9611,
CPI STAT,13.1975,2.9772,3.4631,3.2994,
L3 load bandwidth [MBytes/s] STAT,9102.0115,2154.9960,2352.5173,2275.5029,
L3 load data volume [GBytes] STAT,48.7679,11.5463,12.6046,12.1920,
L3 evict bandwidth [MBytes/s] STAT,3045.8951,693.7010,824.5500,761.4738,
L3 evict data volume [GBytes] STAT,16.3197,3.7168,4.4179,4.0799,
L3 bandwidth [MBytes/s] STAT,12147.9065,2907.1043,3177.0672,3036.9766,
L3 data volume [GBytes] STAT,65.0877,15.5761,17.0225,16.2719,
