Group,Opt. Flag,NThreads,Loop,BCO,Identifier,Metric,Sum,Min,Max,Avg,
L3,O1,2,ikj,1024,L3_O1_P2_ikj_bco_1024,Runtime (RDTSC) [s] STAT,19.5592,4.8898,4.8898,4.8898,
L3,O1,2,ijk,16,L3_O1_P2_ijk_bco_16,Runtime (RDTSC) [s] STAT,243.1048,60.7762,60.7762,60.7762,
L3,O1,2,jik,1024,L3_O1_P2_jik_bco_1024,Runtime (RDTSC) [s] STAT,59.4384,14.8596,14.8596,14.8596,
L3,O1,2,jik,0,L3_O1_P2_jik,Runtime (RDTSC) [s] STAT,171.8728,42.9682,42.9682,42.9682,
L3,O1,2,ikj,32,L3_O1_P2_ikj_bco_32,Runtime (RDTSC) [s] STAT,126.7856,31.6964,31.6964,31.6964,
L3,O1,2,ikj,64,L3_O1_P2_ikj_bco_64,Runtime (RDTSC) [s] STAT,72.2876,18.0719,18.0719,18.0719,
L3,O1,2,kji,512,L3_O1_P2_kji_bco_512,Runtime (RDTSC) [s] STAT,101.0320,25.2580,25.2580,25.2580,
L3,O1,2,jik,2048,L3_O1_P2_jik_bco_2048,Runtime (RDTSC) [s] STAT,161.0844,40.2711,40.2711,40.2711,
L3,O1,2,kji,128,L3_O1_P2_kji_bco_128,Runtime (RDTSC) [s] STAT,66.9660,16.7415,16.7415,16.7415,
L3,O1,2,ijk,256,L3_O1_P2_ijk_bco_256,Runtime (RDTSC) [s] STAT,56.7596,14.1899,14.1899,14.1899,
L3,O1,2,jki,16,L3_O1_P2_jki_bco_16,Runtime (RDTSC) [s] STAT,243.0544,60.7636,60.7636,60.7636,
L3,O1,2,jik,16,L3_O1_P2_jik_bco_16,Runtime (RDTSC) [s] STAT,260.0920,65.0230,65.0230,65.0230,
L3,O1,2,ijk,128,L3_O1_P2_ijk_bco_128,Runtime (RDTSC) [s] STAT,70.9600,17.7400,17.7400,17.7400,
L3,O1,2,kij,128,L3_O1_P2_kij_bco_128,Runtime (RDTSC) [s] STAT,43.8692,10.9673,10.9673,10.9673,
L3,O1,2,jik,512,L3_O1_P2_jik_bco_512,Runtime (RDTSC) [s] STAT,54.0060,13.5015,13.5015,13.5015,
L3,O1,2,jki,2048,L3_O1_P2_jki_bco_2048,Runtime (RDTSC) [s] STAT,309.5020,77.3755,77.3755,77.3755,
L3,O1,2,ikj,256,L3_O1_P2_ikj_bco_256,Runtime (RDTSC) [s] STAT,30.8400,7.7100,7.7100,7.7100,
L3,O1,2,kji,16,L3_O1_P2_kji_bco_16,Runtime (RDTSC) [s] STAT,222.0908,55.5227,55.5227,55.5227,
L3,O1,2,kij,64,L3_O1_P2_kij_bco_64,Runtime (RDTSC) [s] STAT,72.3592,18.0898,18.0898,18.0898,
L3,O1,2,kij,0,L3_O1_P2_kij,Runtime (RDTSC) [s] STAT,17.8716,4.4679,4.4679,4.4679,
L3,O1,2,jki,1024,L3_O1_P2_jki_bco_1024,Runtime (RDTSC) [s] STAT,249.4104,62.3526,62.3526,62.3526,
L3,O1,2,ijk,2048,L3_O1_P2_ijk_bco_2048,Runtime (RDTSC) [s] STAT,158.0728,39.5182,39.5182,39.5182,
L3,O1,2,ijk,64,L3_O1_P2_ijk_bco_64,Runtime (RDTSC) [s] STAT,95.4524,23.8631,23.8631,23.8631,
L3,O1,2,ikj,512,L3_O1_P2_ikj_bco_512,Runtime (RDTSC) [s] STAT,24.4988,6.1247,6.1247,6.1247,
L3,O1,2,kji,32,L3_O1_P2_kji_bco_32,Runtime (RDTSC) [s] STAT,132.0956,33.0239,33.0239,33.0239,
L3,O1,2,ikj,128,L3_O1_P2_ikj_bco_128,Runtime (RDTSC) [s] STAT,45.6592,11.4148,11.4148,11.4148,
L3,O1,2,kij,32,L3_O1_P2_kij_bco_32,Runtime (RDTSC) [s] STAT,130.0704,32.5176,32.5176,32.5176,
L3,O1,2,jki,0,L3_O1_P2_jki,Runtime (RDTSC) [s] STAT,366.8388,91.7097,91.7097,91.7097,
L3,O1,2,kji,0,L3_O1_P2_kji,Runtime (RDTSC) [s] STAT,335.0780,83.7695,83.7695,83.7695,
L3,O1,2,jki,256,L3_O1_P2_jki_bco_256,Runtime (RDTSC) [s] STAT,80.6148,20.1537,20.1537,20.1537,
L3,O1,2,jik,32,L3_O1_P2_jik_bco_32,Runtime (RDTSC) [s] STAT,141.3672,35.3418,35.3418,35.3418,
L3,O1,2,ikj,16,L3_O1_P2_ikj_bco_16,Runtime (RDTSC) [s] STAT,244.5796,61.1449,61.1449,61.1449,
L3,O1,2,jki,512,L3_O1_P2_jki_bco_512,Runtime (RDTSC) [s] STAT,97.2928,24.3232,24.3232,24.3232,
L3,O1,2,kji,256,L3_O1_P2_kji_bco_256,Runtime (RDTSC) [s] STAT,73.5032,18.3758,18.3758,18.3758,
L3,O1,2,jki,64,L3_O1_P2_jki_bco_64,Runtime (RDTSC) [s] STAT,75.4400,18.8600,18.8600,18.8600,
L3,O1,2,kij,256,L3_O1_P2_kij_bco_256,Runtime (RDTSC) [s] STAT,29.4984,7.3746,7.3746,7.3746,
L3,O1,2,ikj,2048,L3_O1_P2_ikj_bco_2048,Runtime (RDTSC) [s] STAT,18.4868,4.6217,4.6217,4.6217,
L3,O1,2,ijk,0,L3_O1_P2_ijk,Runtime (RDTSC) [s] STAT,161.5940,40.3985,40.3985,40.3985,
L3,O1,2,jki,32,L3_O1_P2_jki_bco_32,Runtime (RDTSC) [s] STAT,133.9620,33.4905,33.4905,33.4905,
L3,O1,2,jki,128,L3_O1_P2_jki_bco_128,Runtime (RDTSC) [s] STAT,65.6808,16.4202,16.4202,16.4202,
L3,O1,2,kji,64,L3_O1_P2_kji_bco_64,Runtime (RDTSC) [s] STAT,79.1740,19.7935,19.7935,19.7935,
L3,O1,2,jik,128,L3_O1_P2_jik_bco_128,Runtime (RDTSC) [s] STAT,70.4808,17.6202,17.6202,17.6202,
L3,O1,2,kji,2048,L3_O1_P2_kji_bco_2048,Runtime (RDTSC) [s] STAT,366.0856,91.5214,91.5214,91.5214,
L3,O1,2,kij,16,L3_O1_P2_kij_bco_16,Runtime (RDTSC) [s] STAT,233.3180,58.3295,58.3295,58.3295,
L3,O1,2,kij,2048,L3_O1_P2_kij_bco_2048,Runtime (RDTSC) [s] STAT,19.3084,4.8271,4.8271,4.8271,
L3,O1,2,ijk,512,L3_O1_P2_ijk_bco_512,Runtime (RDTSC) [s] STAT,54.0676,13.5169,13.5169,13.5169,
L3,O1,2,kij,1024,L3_O1_P2_kij_bco_1024,Runtime (RDTSC) [s] STAT,20.9028,5.2257,5.2257,5.2257,
L3,O1,2,jik,256,L3_O1_P2_jik_bco_256,Runtime (RDTSC) [s] STAT,58.3968,14.5992,14.5992,14.5992,
L3,O1,2,ijk,32,L3_O1_P2_ijk_bco_32,Runtime (RDTSC) [s] STAT,144.2136,36.0534,36.0534,36.0534,
L3,O1,2,kij,512,L3_O1_P2_kij_bco_512,Runtime (RDTSC) [s] STAT,24.7856,6.1964,6.1964,6.1964,
L3,O1,2,kji,1024,L3_O1_P2_kji_bco_1024,Runtime (RDTSC) [s] STAT,262.0520,65.5130,65.5130,65.5130,
L3,O1,2,ikj,0,L3_O1_P2_ikj,Runtime (RDTSC) [s] STAT,18.6992,4.6748,4.6748,4.6748,
